event_name,event_date,event_year,mean_polarity_baseline,mean_polarity_post,n_posts_baseline,n_posts_post,negative_share_baseline,negative_share_post,neutral_share_baseline,neutral_share_post,positive_share_baseline,positive_share_post,delta_n_posts,delta_mean_polarity
ChatGPT Release,2022-11-30,2022,0.08685676151214966,0.10466581667296584,775.0,3259.0,0.09419354838709677,0.1126112304387849,0.4619354838709677,0.4136238109849647,0.44387096774193546,0.4737649585762504,2484.0,0.017809055160816184
Claude 3.7 Sonnet,2025-02-25,2025,0.08942200137809556,0.08130112768093742,212.0,224.0,0.08962264150943396,0.07142857142857142,0.5,0.5625,0.41037735849056606,0.36607142857142855,12.0,-0.008120873697158137
DeepSeek R1,2025-01-20,2025,0.10998490325709023,0.09655807970937501,649.0,631.0,0.046224961479198766,0.06339144215530904,0.40215716486902925,0.4675118858954041,0.551617873651772,0.46909667194928684,-18.0,-0.013426823547715225
GPT-4 Launch,2023-03-14,2023,0.04617509047241258,0.0625419989117729,1585.0,1596.0,0.06498422712933755,0.08145363408521303,0.6649842271293376,0.5739348370927319,0.27003154574132493,0.34461152882205515,11.0,0.01636690843936031
GPT-5 Announce,2025-08-07,2025,0.05517748466447014,0.05028546573818394,177.0,287.0,0.062146892655367235,0.0975609756097561,0.5536723163841808,0.5818815331010453,0.384180790960452,0.3205574912891986,110.0,-0.0048920189262861985
Gemini 2.5 Launch,2025-03-25,2025,0.05234808657492281,0.05818677384097852,2119.0,1768.0,0.09391222274657858,0.10407239819004525,0.5795186408683342,0.5497737556561086,0.32656913638508733,0.34615384615384615,-351.0,0.005838687266055707
Llama 3.1,2024-07-23,2024,0.10328556986433483,0.11054169700877432,529.0,481.0,0.06427221172022685,0.04365904365904366,0.43100189035916825,0.45114345114345117,0.504725897920605,0.5051975051975052,-48.0,0.007256127144439489
Llama 4 Release,2025-04-05,2025,0.0916619426682788,0.11563686004245328,793.0,716.0,0.04539722572509458,0.055865921787709494,0.501891551071879,0.4231843575418994,0.4527112232030265,0.520949720670391,-77.0,0.02397491737417448
OpenAI Board Crisis,2023-11-17,2023,0.1018771041183907,0.04363238446344584,83.0,841.0,0.07228915662650602,0.11771700356718193,0.4578313253012048,0.5659928656361475,0.46987951807228917,0.3162901307966706,758.0,-0.058244719654944856
OpenAI o1,2024-09-12,2024,0.052774361034443114,0.06279153131116265,1298.0,1174.0,0.09322033898305085,0.09114139693356048,0.5755007704160247,0.5374787052810903,0.3312788906009245,0.37137989778534924,-124.0,0.010017170276719535
Sora Announce,2024-02-15,2024,0.0392989146087083,0.03430273493678898,1175.0,934.0,0.04340425531914894,0.055674518201284794,0.7948936170212766,0.7548179871520343,0.16170212765957448,0.18950749464668093,-241.0,-0.004996179671919322
