event_name,event_date,event_year,instance,diff_from_global_baseline,diff_from_global_post,mean_polarity_baseline,mean_polarity_post,n_posts_baseline,n_posts_post,delta_mean_polarity,delta_n_posts
ChatGPT Release,2022-11-30,2022,https://dotnet.social,-0.04935676151214966,-0.10466581667296584,0.0375,0.0,1.0,1.0,-0.0375,0.0
ChatGPT Release,2022-11-30,2022,https://fosstodon.org,0.12481870137272882,0.026424073934081915,0.21167546288487848,0.13108989060704776,44.0,264.0,-0.08058557227783072,220.0
ChatGPT Release,2022-11-30,2022,https://hachyderm.io,-0.05211683397174135,0.009832228069987084,0.03473992754040831,0.11449804474295293,24.0,238.0,0.07975811720254461,214.0
ChatGPT Release,2022-11-30,2022,https://infosec.exchange,0.09113948067159253,0.001524848962303177,0.1779962421837422,0.10619066563526902,20.0,319.0,-0.07180557654847317,299.0
ChatGPT Release,2022-11-30,2022,https://mas.to,0.05066389491475676,-0.00391986347741588,0.13752065642690642,0.10074595319554996,52.0,124.0,-0.036774703231356454,72.0
ChatGPT Release,2022-11-30,2022,https://mastodon.art,0.043029602124214,0.027929463863491155,0.12988636363636366,0.132595280536457,10.0,17.0,0.002708916900093339,7.0
ChatGPT Release,2022-11-30,2022,https://mastodon.cloud,0.05064323848785035,0.011521928121921807,0.1375,0.11618774479488765,7.0,35.0,-0.02131225520511236,28.0
ChatGPT Release,2022-11-30,2022,https://mastodon.gamedev.place,0.005801968646580502,0.0013874509144814334,0.09265873015873016,0.10605326758744728,9.0,64.0,0.013394537428717115,55.0
ChatGPT Release,2022-11-30,2022,https://mastodon.nz,0.06907758192219376,0.0048961401973243585,0.15593434343434343,0.1095619568702902,2.0,30.0,-0.04637238656405322,28.0
ChatGPT Release,2022-11-30,2022,https://mastodon.online,-0.06909205068635929,-0.02280926655347923,0.01776471082579037,0.08185655011948662,88.0,225.0,0.06409183929369625,137.0
ChatGPT Release,2022-11-30,2022,https://mastodon.scot,0.040921016265628135,0.051842307725783576,0.1277777777777778,0.15650812439874942,7.0,24.0,0.028730346620971625,17.0
ChatGPT Release,2022-11-30,2022,https://mastodon.social,-0.00371815691022985,-0.00903910752078807,0.08313860460191981,0.09562670915217777,230.0,1227.0,0.012488104550257964,997.0
ChatGPT Release,2022-11-30,2022,https://mastodon.world,-0.006399811055199198,-0.0034840236843946965,0.08045695045695046,0.10118179298857115,42.0,71.0,0.020724842531620685,29.0
ChatGPT Release,2022-11-30,2022,https://mstdn.jp,-0.050398428178816325,-0.05814567015281933,0.036458333333333336,0.046520146520146514,2.0,13.0,0.010061813186813179,11.0
ChatGPT Release,2022-11-30,2022,https://mstdn.social,0.06310972361562578,-0.002755604456280411,0.14996648512777544,0.10191021221668543,31.0,160.0,-0.048056272911090006,129.0
ChatGPT Release,2022-11-30,2022,https://pawoo.net,-0.035545572700960856,-0.06049915000629918,0.051311188811188804,0.04416666666666667,26.0,30.0,-0.007144522144522138,4.0
ChatGPT Release,2022-11-30,2022,https://phpc.social,,0.08352524573684655,,0.1881910624098124,,16.0,,
ChatGPT Release,2022-11-30,2022,https://ruby.social,,-0.00829676905391824,,0.0963690476190476,,10.0,,
ChatGPT Release,2022-11-30,2022,https://sigmoid.social,-0.017230949129753592,0.017298784091186376,0.06962581238239607,0.12196460076415222,99.0,211.0,0.05233878838175615,112.0
ChatGPT Release,2022-11-30,2022,https://social.vivaldi.net,-0.07094767060305876,0.019483722059906228,0.015909090909090907,0.12414953873287207,4.0,39.0,0.10824044782378117,35.0
ChatGPT Release,2022-11-30,2022,https://techhub.social,0.028314481530521962,0.021696015938866775,0.11517124304267162,0.12636183261183262,25.0,75.0,0.011190589569160997,50.0
ChatGPT Release,2022-11-30,2022,https://universeodon.com,-0.0453144496573378,0.009423726043962743,0.04154231185481186,0.11408954271692859,52.0,66.0,0.07254723086211673,14.0
Claude 3.7 Sonnet,2025-02-25,2025,https://dotnet.social,0.16057799862190444,,0.25,,1.0,,,
Claude 3.7 Sonnet,2025-02-25,2025,https://fosstodon.org,-0.09519881715491132,0.08886739427329882,-0.005776815776815776,0.17016852195423623,12.0,8.0,0.175945337731052,-4.0
Claude 3.7 Sonnet,2025-02-25,2025,https://hachyderm.io,-0.056881755165974345,0.11433379295398322,0.03254024621212121,0.19563492063492063,6.0,7.0,0.16309467442279943,1.0
Claude 3.7 Sonnet,2025-02-25,2025,https://infosec.exchange,-0.06489138913319759,0.14171970565239592,0.024530612244897967,0.22302083333333333,7.0,4.0,0.19849022108843536,-3.0
Claude 3.7 Sonnet,2025-02-25,2025,https://mas.to,0.15194163498554084,-0.1563011276809374,0.2413636363636364,-0.075,4.0,4.0,-0.3163636363636364,0.0
Claude 3.7 Sonnet,2025-02-25,2025,https://mastodon.gamedev.place,-0.04396745592355011,0.11869887231906256,0.04545454545454545,0.19999999999999998,3.0,3.0,0.15454545454545454,0.0
Claude 3.7 Sonnet,2025-02-25,2025,https://mastodon.online,0.11049863354253936,0.41869887231906255,0.19992063492063492,0.5,5.0,1.0,0.30007936507936506,-4.0
Claude 3.7 Sonnet,2025-02-25,2025,https://mastodon.social,-0.002431453896476643,-0.01756662638883809,0.08699054748161891,0.06373450129209933,150.0,170.0,-0.023256046189519583,20.0
Claude 3.7 Sonnet,2025-02-25,2025,https://mastodon.world,-0.09874018319627738,0.019456448076638336,-0.009318181818181823,0.10075757575757575,2.0,2.0,0.11007575757575758,0.0
Claude 3.7 Sonnet,2025-02-25,2025,https://mstdn.social,0.19930094234484816,0.045621491366681644,0.2887229437229437,0.12692261904761906,5.0,10.0,-0.16180032467532465,5.0
Claude 3.7 Sonnet,2025-02-25,2025,https://phpc.social,0.41057799862190447,-0.08130112768093742,0.5,0.0,1.0,1.0,-0.5,0.0
Claude 3.7 Sonnet,2025-02-25,2025,https://ruby.social,-0.08942200137809556,0.022224513344703614,0.0,0.10352564102564103,1.0,1.0,0.10352564102564103,0.0
Claude 3.7 Sonnet,2025-02-25,2025,https://social.vivaldi.net,-0.03942200137809555,0.02703220565239592,0.05,0.10833333333333334,2.0,2.0,0.058333333333333334,0.0
Claude 3.7 Sonnet,2025-02-25,2025,https://techhub.social,-0.014358870064964238,0.024405943026133275,0.07506313131313132,0.1057070707070707,12.0,11.0,0.030643939393939376,-1.0
Claude 3.7 Sonnet,2025-02-25,2025,https://universeodon.com,0.24466890771281355,,0.3340909090909091,,1.0,,,
DeepSeek R1,2025-01-20,2025,https://dotnet.social,-0.01998490325709025,0.528441920290625,0.08999999999999998,0.625,1.0,1.0,0.535,0.0
DeepSeek R1,2025-01-20,2025,https://fosstodon.org,-0.004517549096554246,0.028615285435581048,0.10546735416053599,0.12517336514495606,111.0,132.0,0.01970601098442007,21.0
DeepSeek R1,2025-01-20,2025,https://hachyderm.io,-0.023208822188836298,0.03139143351532957,0.08677608106825394,0.12794951322470458,93.0,23.0,0.04117343215645064,-70.0
DeepSeek R1,2025-01-20,2025,https://infosec.exchange,0.08484507947061976,0.06755116319413561,0.19482998272771,0.16410924290351062,18.0,28.0,-0.030720739824199372,10.0
DeepSeek R1,2025-01-20,2025,https://mas.to,0.026459450999764017,-0.00905146595276124,0.13644435425685425,0.08750661375661377,24.0,12.0,-0.04893774050024048,-12.0
DeepSeek R1,2025-01-20,2025,https://mastodon.art,-0.02836874164092862,-0.09655807970937501,0.08161616161616161,0.0,11.0,3.0,-0.08161616161616161,-8.0
